task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_APSFailure,Bayesian Optimization,5,1.2532730102539034,0.1732220921371222,1.290271132376398,0.2043358810223325,0.051177978515625,0.11443743891196129,28.2
lcbench_APSFailure,HyperRL-MLP,5,1.3627700805664062,0.13589761432498984,1.3740031897926628,0.16409809224537752,0.16067504882812783,0.21464625948425453,21.8
lcbench_APSFailure,OurMethod-LC-DQN-MLP,5,1.5793838500976591,0.20677226102229868,1.6371610845295066,0.23942708884133324,0.37728881835938066,0.2519358834200242,25.6
lcbench_APSFailure,Random Search,5,1.4698867797851534,0.2139439216545599,1.5151515151515156,0.23721569834593015,0.267791748046875,0.17118617086244114,24.8
lcbench_Amazon_employee_access,Bayesian Optimization,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.8
lcbench_Amazon_employee_access,HyperRL-MLP,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.6
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.6
lcbench_Amazon_employee_access,Random Search,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,2.0
lcbench_Australian,Bayesian Optimization,5,9.281048583984386,0.2922965568488278,15.859030837004408,0.9850519724668686,0.26143798828125,0.35798870892602974,12.8
lcbench_Australian,HyperRL-MLP,5,9.411767578125009,0.35798870892602197,16.29955947136564,0.6965369295525082,0.39215698242187214,0.35798870892602713,16.2
lcbench_Australian,OurMethod-LC-DQN-MLP,5,9.411767578125009,0.35798870892602197,16.387665198237887,0.1970103944933715,0.39215698242187214,0.5845931136976669,18.4
lcbench_Australian,Random Search,5,9.150329589843759,0.46216143593360254,16.211453744493394,0.3685726989136858,0.13071899414062216,0.2922965568488278,21.4
lcbench_Fashion-MNIST,Bayesian Optimization,5,10.83731689453125,0.4199436812574608,10.192207792207796,0.44109771396878433,0.1085418701171875,0.2427069999869843,33.2
lcbench_Fashion-MNIST,HyperRL-MLP,5,11.466596984863282,0.896983210434597,10.757575757575756,0.9542828314205553,0.7378219604492188,0.9046515835175035,18.8
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,5,11.989920043945313,1.0274814842739184,11.199134199134198,1.049700983051941,1.26114501953125,1.0678806067452038,24.4
lcbench_Fashion-MNIST,Random Search,5,11.292155456542968,0.5018103604618696,10.49177489177489,0.5778661386420043,0.5633804321289062,0.5910356747454977,23.6
lcbench_KDDCup09_appetency,Bayesian Optimization,5,1.6733016967773438,0.0,1.7830303030303014,0.002710385427270007,0.0,0.0,4.2
lcbench_KDDCup09_appetency,HyperRL-MLP,5,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,2.8
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,5,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,3.2
lcbench_KDDCup09_appetency,Random Search,5,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,6.0
lcbench_MiniBooNE,Bayesian Optimization,5,9.84595184326172,0.3507248878068114,9.993010577326308,0.4031725079040294,0.0,0.0,27.0
lcbench_MiniBooNE,HyperRL-MLP,5,11.701498413085938,1.3645762641697905,11.975210847583986,1.3724949516316873,1.8555465698242188,1.345454153301171,15.4
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,5,11.142330932617188,0.6692924407346375,11.396952611714273,0.6877479839306289,1.2963790893554688,0.4681747387624872,14.4
lcbench_MiniBooNE,Random Search,5,10.71043701171875,0.43984059919773194,10.930059177111966,0.48553882630527395,0.8644851684570313,0.14288310721497133,18.6
lcbench_adult,Bayesian Optimization,5,19.040739440917967,0.6741990762632332,19.128870137122295,0.6663984923368188,0.61851806640625,0.7553374363840639,27.2
lcbench_adult,HyperRL-MLP,5,19.442593383789063,0.12097518669938284,19.561953217099955,0.2357513955856266,1.0203720092773438,0.8747779489700427,25.0
lcbench_adult,OurMethod-LC-DQN-MLP,5,18.488888549804688,0.8807608545370798,18.646150027920825,0.8082990527402936,0.06666717529296876,0.09497013379933947,10.0
lcbench_adult,Random Search,5,19.496296691894532,0.06334356248618588,19.52844822237389,0.07517593215045253,1.0740753173828126,0.8304477858222911,16.2
lcbench_airlines,Bayesian Optimization,5,36.7044563293457,0.2259243352499676,36.91433001679803,0.20729262873900262,0.01240997314453125,0.0277495435501187,35.0
lcbench_airlines,HyperRL-MLP,5,38.14067001342773,1.0130956238716529,38.32558975713074,0.9847098090627594,1.4486236572265625,1.000805239666377,18.4
lcbench_airlines,OurMethod-LC-DQN-MLP,5,38.18846588134765,1.1241911699698213,38.358286937420296,1.1331833121836783,1.496419525146483,0.990182747268151,25.2
lcbench_airlines,Random Search,5,38.460313415527345,0.8546214916607336,38.6168306207408,0.8561161793282372,1.7682670593261718,0.938467189504961,23.6
lcbench_albert,Bayesian Optimization,5,33.77223968505861,0.0,33.748548054928065,0.0,0.0,0.0,30.4
