task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.27017211914063066,0.3227411468165247,4,1,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.27850341796875283,0.31689458488499145,4,1,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.21661376953125,0.08133418371184888,5,0,0,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.008331298828122159,0.03754276132372874,1,1,3,5
lcbench_APSFailure,HyperRL-MLP,Random Search,0.05355834960938068,0.34268250848793796,1,4,0,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,0.061889648437502845,0.3431627129423476,1,4,0,5
lcbench_Amazon_employee_access,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,0.13071899414062216,0.2922965568488278,0,1,4,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.4621614359335925,1,1,3,5
lcbench_Australian,Bayesian Optimization,Random Search,0.13071899414062785,0.5468367855310098,1,2,2,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.13071899414062216,0.2922965568488278,1,0,4,5
lcbench_Australian,HyperRL-MLP,Random Search,5.684341886080802e-15,0.46216143593360254,1,1,3,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,0.13071899414062785,0.7159774178520556,1,1,3,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,-0.66158447265625,1.4606844423753687,4,1,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.21579132080078126,0.5470107425346501,4,1,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,-0.45483856201171874,0.74906993724972,4,1,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.44579315185546875,0.9813028527088464,2,3,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,0.20674591064453124,1.521577110024962,3,1,1,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,-0.2390472412109375,0.7032457000271783,3,1,1,5
lcbench_KDDCup09_appetency,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,-1.585003662109375,1.3089560083214697,5,0,0,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.49320068359375,1.6812768511164895,4,0,1,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,-0.8644851684570313,0.14288310721497133,5,0,0,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.091802978515625,2.4063945948026446,2,1,2,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,0.7205184936523438,1.3860561226024546,1,2,2,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,0.6287155151367188,1.569378066328283,1,2,2,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,0.13703460693359376,0.6105267202004353,2,1,2,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.053704833984375,0.07812891991288178,2,1,2,5
lcbench_adult,Bayesian Optimization,Random Search,-0.4555572509765625,0.7338046835085608,4,1,0,5
lcbench_adult,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.19073944091796874,0.5811469809828876,2,2,1,5
lcbench_adult,HyperRL-MLP,Random Search,-0.5925918579101562,0.8356722265430591,3,2,0,5
lcbench_adult,OurMethod-LC-DQN-MLP,Random Search,-0.4018524169921875,0.7625731964387631,3,0,2,5
lcbench_airlines,Bayesian Optimization,HyperRL-MLP,-2.8581726074218734,1.1582647364664622,5,0,0,5
lcbench_airlines,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.8556404113769518,1.093616860771521,5,0,0,5
lcbench_airlines,Bayesian Optimization,Random Search,-1.7558570861816407,0.9453912273517121,5,0,0,5
lcbench_airlines,HyperRL-MLP,OurMethod-LC-DQN-MLP,1.0025321960449218,1.5185907982246232,1,2,2,5
lcbench_airlines,HyperRL-MLP,Random Search,1.102315521240233,1.3764611690246547,1,3,1,5
lcbench_airlines,OurMethod-LC-DQN-MLP,Random Search,0.09978332519531108,1.3892533934148348,3,1,1,5
lcbench_albert,Bayesian Optimization,HyperRL-MLP,-0.7049514770507642,0.6101994350056755,5,0,0,5
lcbench_albert,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.6015716552734233,0.6582901662438777,5,0,0,5
lcbench_albert,Bayesian Optimization,Random Search,-0.44118041992186363,0.31054226903566035,5,0,0,5
lcbench_albert,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.10337982177734091,1.0930917490875465,1,2,2,5
lcbench_albert,HyperRL-MLP,Random Search,0.2637710571289006,0.5930670951254043,1,2,2,5
lcbench_albert,OurMethod-LC-DQN-MLP,Random Search,0.16039123535155966,0.7526583244677818,1,2,2,5
lcbench_bank-marketing,Bayesian Optimization,HyperRL-MLP,2.348704528808594,2.304259895988485,0,5,0,5
lcbench_bank-marketing,Bayesian Optimization,OurMethod-LC-DQN-MLP,2.3687118530273437,2.3667235754989266,0,5,0,5
lcbench_bank-marketing,Bayesian Optimization,Random Search,2.3787139892578124,2.2688463694563423,0,5,0,5
lcbench_bank-marketing,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.02000732421875,0.09594348385567499,1,1,3,5
lcbench_bank-marketing,HyperRL-MLP,Random Search,0.03000946044921875,0.0671031935325445,0,1,4,5
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,Random Search,0.01000213623046875,0.14564404354810556,1,1,3,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,HyperRL-MLP,1.5662643432617187,4.293619644465033,2,2,1,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,OurMethod-LC-DQN-MLP,3.01204833984375,6.788812126472401,1,2,2,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,Random Search,2.2891571044921877,6.479755527319693,3,1,1,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,OurMethod-LC-DQN-MLP,1.4457839965820312,2.7474125836502625,1,3,1,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,Random Search,0.7228927612304688,2.3869434765932596,2,2,1,5
lcbench_blood-transfusion-service-center,OurMethod-LC-DQN-MLP,Random Search,-0.7228912353515625,0.989859590562067,3,1,1,5
lcbench_car,Bayesian Optimization,HyperRL-MLP,-3.133160400390622,4.258358479633576,3,0,2,5
lcbench_car,Bayesian Optimization,OurMethod-LC-DQN-MLP,-3.4986968994140626,3.3005771417411784,3,0,2,5
lcbench_car,Bayesian Optimization,Random Search,-3.7597946166992187,4.997121652128024,3,0,2,5
