task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_APSFailure,Bayesian Optimization,5,1.5436782836914091,0.1662855758462801,1.6044657097288706,0.19526491718395336,0.115447998046875,0.13089335768976507,14.2
lcbench_APSFailure,HyperRL-MLP,5,1.922161865234378,0.16768852417287722,1.9720893141945737,0.1749303934060126,0.49393157958984374,0.26265390908070296,13.6
lcbench_APSFailure,OurMethod-LC-DQN-MLP,5,1.6626983642578126,0.24903992222002638,1.71451355661882,0.21782526921234316,0.2344680786132784,0.24237329166453775,15.0
lcbench_APSFailure,Random Search,5,1.7376815795898437,0.2336483248015864,1.802232854864434,0.21773401820535837,0.3094512939453097,0.23315555016694797,10.6
lcbench_Amazon_employee_access,Bayesian Optimization,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.8
lcbench_Amazon_employee_access,HyperRL-MLP,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.6
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.4
lcbench_Amazon_employee_access,Random Search,5,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,2.0
lcbench_Australian,Bayesian Optimization,5,9.411767578125009,0.35798870892602197,15.859030837004408,0.9850519724668686,0.26143798828125,0.35798870892602974,8.8
lcbench_Australian,HyperRL-MLP,5,10.065362548828125,0.5845931136976684,16.0352422907489,1.1902428269697165,0.9150329589843664,0.3579887089260375,7.6
lcbench_Australian,OurMethod-LC-DQN-MLP,5,10.196081542968752,0.7452129235640892,16.651982378854626,0.5743790665376783,1.0457519531249944,0.7452129235640949,8.6
lcbench_Australian,Random Search,5,9.411767578125005,0.7452129235640916,16.29955947136564,0.4405286343612289,0.26143798828124715,0.5845931136976621,9.8
lcbench_Fashion-MNIST,Bayesian Optimization,5,12.325881958007812,1.7802672755608322,11.64761904761905,1.8630633486639485,1.1435577392578125,1.8624417257776362,17.2
