task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_bank-marketing,Bayesian Optimization,OurMethod-LC-DQN-MLP,1.4364303588867187,3.6041120880918815,1,4,0,5
lcbench_bank-marketing,Bayesian Optimization,Random Search,3.002899169921875,2.4791543192792704,0,5,0,5
lcbench_bank-marketing,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.216064453125,0.48313480470881687,1,0,4,5
lcbench_bank-marketing,HyperRL-MLP,Random Search,1.3504043579101563,1.6379137962064347,0,3,2,5
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,Random Search,1.5664688110351563,1.9747328516411653,0,3,2,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,HyperRL-MLP,6.506024169921875,10.58425527665176,1,3,1,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,OurMethod-LC-DQN-MLP,7.831324768066406,7.451395844569592,0,3,2,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,Random Search,2.0481918334960993,9.052195768672266,1,3,1,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,OurMethod-LC-DQN-MLP,1.3253005981445312,4.536111567168277,1,2,2,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,Random Search,-4.457832336425776,5.347553730799779,3,0,2,5
lcbench_blood-transfusion-service-center,OurMethod-LC-DQN-MLP,Random Search,-5.783132934570307,5.59625370131057,3,0,2,5
lcbench_car,Bayesian Optimization,HyperRL-MLP,-0.7310714721679688,6.837043513214856,3,2,0,5
lcbench_car,Bayesian Optimization,OurMethod-LC-DQN-MLP,1.6710189819335937,4.9971190610234615,1,4,0,5
lcbench_car,Bayesian Optimization,Random Search,0.10443878173828125,7.137543261861828,2,3,0,5
lcbench_car,HyperRL-MLP,OurMethod-LC-DQN-MLP,2.4020904541015624,2.513861842895956,0,3,2,5
lcbench_car,HyperRL-MLP,Random Search,0.83551025390625,2.1719751550483424,1,1,3,5
lcbench_car,OurMethod-LC-DQN-MLP,Random Search,-1.5665802001953124,3.072744271524351,2,1,2,5
lcbench_christine,Bayesian Optimization,HyperRL-MLP,0.16694488525390624,0.7940868095914122,1,4,0,5
lcbench_christine,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.1836395263671875,0.3411158353702822,2,2,1,5
lcbench_christine,Bayesian Optimization,Random Search,0.45075225830078125,0.692368178144021,0,4,1,5
lcbench_christine,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.35058441162109377,0.684270007734831,3,1,1,5
lcbench_christine,HyperRL-MLP,Random Search,0.283807373046875,0.7456668849114148,1,2,2,5
lcbench_christine,OurMethod-LC-DQN-MLP,Random Search,0.6343917846679688,0.6094049877296447,0,4,1,5
lcbench_cnae-9,Bayesian Optimization,HyperRL-MLP,0.33472900390625,0.9070895860205985,2,2,1,5
lcbench_cnae-9,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.33472900390625,1.9265051219213498,2,2,1,5
lcbench_cnae-9,Bayesian Optimization,Random Search,0.167364501953125,1.0910786750739982,2,2,1,5
lcbench_cnae-9,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.6694580078125,1.3428281374475388,2,1,2,5
