task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,0.33087463378906534,0.7142219426120259,2,3,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.4784561157226591,0.34927692838454005,0,5,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.22613525390623862,0.3714208510234586,4,1,0,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.14758148193359374,0.6737946489344303,2,3,0,5
lcbench_APSFailure,HyperRL-MLP,Random Search,-0.557009887695304,0.6390920446973387,4,1,0,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,-0.7045913696288977,0.6557212555875441,5,0,0,5
lcbench_Amazon_employee_access,Bayesian Optimization,HyperRL-MLP,-2.696658325195307,5.857355663352191,2,1,2,5
lcbench_Amazon_employee_access,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.08004302978515057,0.7738487489161417,1,1,3,5
lcbench_Amazon_employee_access,Bayesian Optimization,Random Search,0.16837005615234374,0.4000303946936552,1,1,3,5
lcbench_Amazon_employee_access,HyperRL-MLP,OurMethod-LC-DQN-MLP,2.6166152954101562,5.8509296715028025,0,1,4,5
lcbench_Amazon_employee_access,HyperRL-MLP,Random Search,2.8650283813476505,5.71600251559772,0,2,3,5
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,Random Search,0.2484130859374943,0.5788878269367344,1,1,3,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,-0.392156982421875,1.574065131188926,2,2,1,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.176470947265622,0.9694380065803695,4,0,1,5
lcbench_Australian,Bayesian Optimization,Random Search,-1.9607833862304687,3.168416026738582,3,1,1,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.7843139648437472,0.8521835810072312,3,0,2,5
lcbench_Australian,HyperRL-MLP,Random Search,-1.5686264038085938,3.5977386720299767,3,1,1,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,-0.7843124389648466,2.900957144009419,1,2,2,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,2.4124542236328126,3.0402898261467866,1,3,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.9923736572265625,2.5447319640770214,1,3,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,0.7145614624023438,3.3555474466543593,3,2,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,-1.42008056640625,1.7009320152732441,3,0,2,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,-1.6978927612304688,3.161948544101,3,2,0,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,-0.27781219482421876,3.7981138892244726,3,2,0,5
lcbench_KDDCup09_appetency,Bayesian Optimization,HyperRL-MLP,-0.36902923583984376,0.8251744570226923,1,0,4,5
lcbench_KDDCup09_appetency,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.7127349853515625,2.778047163640528,2,1,2,5
lcbench_KDDCup09_appetency,Bayesian Optimization,Random Search,-0.36360321044921873,0.8285378639525529,2,1,2,5
lcbench_KDDCup09_appetency,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.34370574951171873,2.995424104223643,1,2,2,5
lcbench_KDDCup09_appetency,HyperRL-MLP,Random Search,0.005426025390625,0.023583945206200906,1,1,3,5
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,Random Search,0.34913177490234376,2.979079770574138,2,1,2,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,2.0975738525390626,2.3942608056916574,1,4,0,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.8144073486328125,1.694971778770343,2,3,0,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,1.0877334594726562,2.3698132138855033,2,2,1,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,-1.28316650390625,2.972803637003567,3,1,1,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,-1.0098403930664062,2.1009629068658273,2,3,0,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,0.27332611083984376,3.4857448819486843,2,3,0,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,0.7425933837890625,2.533971911221205,1,4,0,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.00370330810546875,2.029476475707592,1,4,0,5
lcbench_adult,Bayesian Optimization,Random Search,-0.39444427490234374,2.3220492470548746,3,2,0,5
