total_consumed_evals,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1,Bayesian Optimization,35,0.5023917010407988,0.31581407827757507
1,Random Search,35,0.5023917010407988,0.31581407827757507
2,Bayesian Optimization,35,0.47545116593593134,0.31228548435343945
2,Random Search,35,0.47545116593593134,0.31228548435343945
3,Bayesian Optimization,35,0.1614198730953577,0.18152852280423556
3,Random Search,35,0.1614198730953577,0.18152852280423556
4,Bayesian Optimization,35,0.1416057740759991,0.1845225836770052
4,Random Search,35,0.14865805371515092,0.18210953806626917
5,Bayesian Optimization,35,0.13535319562400502,0.1826252194435623
5,Random Search,35,0.14393963971875604,0.18340307618676327
6,Bayesian Optimization,35,0.11720564012233929,0.17811218747477894
6,Random Search,35,0.14169809138571002,0.18007383427616247
7,Bayesian Optimization,35,0.11066798858872796,0.1691178474146274
7,Random Search,35,0.14169809138571002,0.18007383427616247
8,Bayesian Optimization,35,0.10374004356902623,0.16997150797513214
8,Random Search,35,0.11420166552077897,0.1634626146256217
9,Bayesian Optimization,35,0.09882746712205337,0.1680619382484357
9,Random Search,35,0.09450902891576783,0.15336253704526837
10,Bayesian Optimization,35,0.08261772898880364,0.16199190964128607
10,Random Search,35,0.09391731493206283,0.1532607896642854
11,Bayesian Optimization,35,0.07500569997487001,0.1564985919832179
11,Random Search,35,0.08128023805312173,0.14759588231344622
12,Bayesian Optimization,35,0.06592133470942402,0.15215228391874902
12,Random Search,35,0.08128023805312173,0.14759588231344622
13,Bayesian Optimization,35,0.064941177405123,0.15250347914062046
13,Random Search,35,0.08128023805312173,0.14759588231344622
14,Bayesian Optimization,35,0.062151198472541816,0.1515584477128358
14,Random Search,35,0.08128023805312173,0.14759588231344622
15,Bayesian Optimization,35,0.05281696313038876,0.14810340766705066
15,Random Search,35,0.08078333920029286,0.14780122553695407
16,Bayesian Optimization,35,0.052108035880528446,0.14799650992071617
16,Random Search,35,0.04960351762611728,0.07598426280114645
17,Bayesian Optimization,35,0.04413562694839561,0.1385075735516797
17,Random Search,35,0.04929630024406887,0.07603342445387341
18,Bayesian Optimization,35,0.04296820409962438,0.13861822033257312
18,Random Search,35,0.04929630024406887,0.07603342445387341
19,Bayesian Optimization,35,0.03427285178392022,0.1274704598816609
19,Random Search,35,0.04911058896629874,0.07609016748909415
20,Bayesian Optimization,35,0.031786369250989106,0.12662819584835755
20,Random Search,35,0.04911058896629874,0.07609016748909415
3001,CrossDataset-HyperRL,35,0.19667313563729852,0.21252720057322835
3001,CrossDataset-LC-DQN,35,0.2877308445715433,0.21474550720358063
3002,CrossDataset-HyperRL,35,0.14125775304887683,0.16900034816452647
3002,CrossDataset-LC-DQN,35,0.2614817845592447,0.21342690394431157
3003,CrossDataset-HyperRL,35,0.11332932927468807,0.16388202011079436
3003,CrossDataset-LC-DQN,35,0.2502363971145347,0.2055212468132447
3004,CrossDataset-HyperRL,35,0.10581053223208896,0.16183549573306139
3004,CrossDataset-LC-DQN,35,0.19787531170988767,0.18691515671686915
3005,CrossDataset-HyperRL,35,0.10581053223208896,0.16183549573306139
3005,CrossDataset-LC-DQN,35,0.19787531170988767,0.18691515671686915
3006,CrossDataset-HyperRL,35,0.09702403447246245,0.16177407457477166
3006,CrossDataset-LC-DQN,35,0.16321177801163678,0.17565407629274232
3007,CrossDataset-HyperRL,35,0.09702403447246245,0.16177407457477166
3007,CrossDataset-LC-DQN,35,0.13065911360188068,0.13534713098312653
3008,CrossDataset-HyperRL,35,0.09609471148921128,0.15903276154779492
3008,CrossDataset-LC-DQN,35,0.10022221182390836,0.12712241463732227
3009,CrossDataset-HyperRL,35,0.09496823996389,0.1592196003892629
3009,CrossDataset-LC-DQN,35,0.09950311122591324,0.12740935543457071
3010,CrossDataset-HyperRL,35,0.09367846547429212,0.15848060660008303
3010,CrossDataset-LC-DQN,35,0.09778365732370031,0.12672390967221944
3011,CrossDataset-HyperRL,35,0.09224144321806038,0.15880946048323416
3011,CrossDataset-LC-DQN,35,0.08880862775845308,0.12067660461934453
3012,CrossDataset-HyperRL,35,0.09224144321806038,0.15880946048323416
3012,CrossDataset-LC-DQN,35,0.08572823626776582,0.11895166155091429
3013,CrossDataset-HyperRL,35,0.09218519557123155,0.15882047288737947
3013,CrossDataset-LC-DQN,35,0.08572823626776582,0.11895166155091429
3014,CrossDataset-HyperRL,35,0.09218519557123155,0.15882047288737947
3014,CrossDataset-LC-DQN,35,0.06088896744116788,0.0807723134214889
3015,CrossDataset-HyperRL,35,0.08835383855946785,0.15582228277384255
3015,CrossDataset-LC-DQN,35,0.05919742023298128,0.07935813485142092
3016,CrossDataset-HyperRL,35,0.08835383855946785,0.15582228277384255
3016,CrossDataset-LC-DQN,35,0.05919742023298128,0.07935813485142092
3017,CrossDataset-HyperRL,35,0.08569086264146254,0.15559896247312588
3017,CrossDataset-LC-DQN,35,0.05919742023298128,0.07935813485142092
3018,CrossDataset-HyperRL,35,0.08554396513130613,0.15566966168779395
3018,CrossDataset-LC-DQN,35,0.05823569890449196,0.07805350339644701
3019,CrossDataset-HyperRL,35,0.08554396513130613,0.15566966168779395
3019,CrossDataset-LC-DQN,35,0.05823569890449196,0.07805350339644701
3020,CrossDataset-HyperRL,35,0.08550103332475988,0.1556856725716162
3020,CrossDataset-LC-DQN,35,0.05798210762744309,0.07812412955269434
