total_consumed_evals,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1,Bayesian Optimization,35,0.5225726946663829,0.3200242100902494
1,Random Search,35,0.5225726946663829,0.3200242100902494
2,Bayesian Optimization,35,0.49348578547160327,0.3149704083938168
2,Random Search,35,0.49348578547160327,0.3149704083938168
3,Bayesian Optimization,35,0.17036710801751706,0.1870426105372059
3,Random Search,35,0.17036710801751706,0.1870426105372059
4,Bayesian Optimization,35,0.1498012707694516,0.1892620768512899
4,Random Search,35,0.1556811330474587,0.18838043078905709
5,Bayesian Optimization,35,0.1418133574545078,0.1868058809876096
5,Random Search,35,0.15055226466533186,0.18890174491406583
6,Bayesian Optimization,35,0.12117651751685467,0.17965333431979313
6,Random Search,35,0.14795575745206457,0.1841958913966937
7,Bayesian Optimization,35,0.11470685243193454,0.17090435022134357
7,Random Search,35,0.14795575745206457,0.1841958913966937
8,Bayesian Optimization,35,0.10792625357635052,0.17194756085181317
8,Random Search,35,0.11916896803221917,0.1673226108970413
9,Bayesian Optimization,35,0.10319255449394851,0.17095881805710916
9,Random Search,35,0.09671330122944224,0.15507096843212104
10,Bayesian Optimization,35,0.0872487490229623,0.16595905372017997
10,Random Search,35,0.09612333271882045,0.15498066636234453
11,Bayesian Optimization,35,0.07872256473672247,0.15891218783955352
11,Random Search,35,0.08227480278602031,0.15006357308391305
12,Bayesian Optimization,35,0.06821937834615216,0.15231607927944407
12,Random Search,35,0.08227480278602031,0.15006357308391305
13,Bayesian Optimization,35,0.06723310674185921,0.15268375044553661
13,Random Search,35,0.08227480278602031,0.15006357308391305
14,Bayesian Optimization,35,0.0646353995250237,0.1517957170319535
14,Random Search,35,0.08227480278602031,0.15006357308391305
15,Bayesian Optimization,35,0.055296266922907907,0.148204348523189
15,Random Search,35,0.08161798229830589,0.15019968344911974
16,Bayesian Optimization,35,0.05410732718560088,0.14762801620971697
16,Random Search,35,0.051480113919979954,0.08170808995945725
17,Bayesian Optimization,35,0.04613295988733408,0.13824618657226476
17,Random Search,35,0.05117289653793154,0.0817610687594698
18,Bayesian Optimization,35,0.04468273926915107,0.1381619518011171
18,Random Search,35,0.05117289653793154,0.0817610687594698
19,Bayesian Optimization,35,0.035988594560848186,0.1270785092233995
19,Random Search,35,0.05098670801541473,0.08181809369223629
20,Bayesian Optimization,35,0.03350227377703785,0.126266132938333
20,Random Search,35,0.05098670801541473,0.08181809369223629
15001,CrossDataset-HyperRL,35,0.2871294817757537,0.2090616509182039
15001,CrossDataset-LC-DQN,35,0.28132330547879325,0.2279437211921096
15002,CrossDataset-HyperRL,35,0.27142414625964206,0.20591408101503075
15002,CrossDataset-LC-DQN,35,0.2069330149441242,0.2024990725443492
15003,CrossDataset-HyperRL,35,0.22034463392992415,0.18846207832165499
15003,CrossDataset-LC-DQN,35,0.17434900246171886,0.1730537430730576
15004,CrossDataset-HyperRL,35,0.195551313606573,0.1915851806690443
15004,CrossDataset-LC-DQN,35,0.16277393062573897,0.1735123178784951
15005,CrossDataset-HyperRL,35,0.16525948642421415,0.15677506613794268
15005,CrossDataset-LC-DQN,35,0.12860397544346056,0.16561555761873986
15006,CrossDataset-HyperRL,35,0.141183062015473,0.14734236951630067
15006,CrossDataset-LC-DQN,35,0.11941500081609271,0.16512690758668352
15007,CrossDataset-HyperRL,35,0.13864588084009072,0.14513076530053853
15007,CrossDataset-LC-DQN,35,0.11851511201892222,0.1650433360878112
15008,CrossDataset-HyperRL,35,0.13684919936782386,0.14033605037242017
15008,CrossDataset-LC-DQN,35,0.11777592103002138,0.16326260666189493
15009,CrossDataset-HyperRL,35,0.12074430737479702,0.12679720721666196
15009,CrossDataset-LC-DQN,35,0.11777592103002138,0.16326260666189493
15010,CrossDataset-HyperRL,35,0.11622112693043732,0.1230224883890343
15010,CrossDataset-LC-DQN,35,0.1157985860322053,0.16428696350184852
15011,CrossDataset-HyperRL,35,0.10228312426176053,0.1196289568890975
15011,CrossDataset-LC-DQN,35,0.1157985860322053,0.16428696350184852
15012,CrossDataset-HyperRL,35,0.10173101519213285,0.12006687978957328
15012,CrossDataset-LC-DQN,35,0.09208933408951067,0.11294861493774991
15013,CrossDataset-HyperRL,35,0.10173101519213285,0.12006687978957328
15013,CrossDataset-LC-DQN,35,0.09208933408951067,0.11294861493774991
15014,CrossDataset-HyperRL,35,0.09064514756502375,0.11327663723893541
15014,CrossDataset-LC-DQN,35,0.09158364464977156,0.112923223695671
15015,CrossDataset-HyperRL,35,0.09043451543873604,0.11340220490525196
15015,CrossDataset-LC-DQN,35,0.09158364464977156,0.112923223695671
15016,CrossDataset-HyperRL,35,0.08987228110120817,0.11329163869860462
15016,CrossDataset-LC-DQN,35,0.09117548124833748,0.11323622043836257
15017,CrossDataset-HyperRL,35,0.08987228110120817,0.11329163869860462
15017,CrossDataset-LC-DQN,35,0.09117548124833748,0.11323622043836257
15018,CrossDataset-HyperRL,35,0.08650353904306722,0.10518040341614103
15018,CrossDataset-LC-DQN,35,0.09062866054340135,0.1136398107131948
15019,CrossDataset-HyperRL,35,0.08650353904306722,0.10518040341614103
15019,CrossDataset-LC-DQN,35,0.08997355819284839,0.11304697831551885
15020,CrossDataset-HyperRL,35,0.08293921396972256,0.1064591748963001
15020,CrossDataset-LC-DQN,35,0.08713777899084069,0.11425442309318194
