task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_APSFailure,Bayesian Optimization,1,1.2794570922851562,0.0,1.2838915470494499,0.0,0.0,0.0,14.0
lcbench_APSFailure,CrossDataset-HyperRL,1,1.6305618286132812,0.0,1.6547049441786328,0.0,0.351104736328125,0.0,1.0
lcbench_APSFailure,CrossDataset-LC-DQN,1,1.7793350219726562,0.0,1.7743221690590048,0.0,0.4998779296875,0.0,14.0
lcbench_APSFailure,Random Search,1,1.4639358520507812,0.0,1.6108452950558245,0.0,0.184478759765625,0.0,8.0
lcbench_Amazon_employee_access,Bayesian Optimization,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,5.0
lcbench_Amazon_employee_access,CrossDataset-HyperRL,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,4.0
lcbench_Amazon_employee_access,CrossDataset-LC-DQN,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,1.0
lcbench_Amazon_employee_access,Random Search,1,5.920509338378906,0.0,5.788792306269656,0.0,0.0,0.0,3.0
lcbench_Australian,Bayesian Optimization,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,2.0
lcbench_Australian,CrossDataset-HyperRL,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,0.0
lcbench_Australian,CrossDataset-LC-DQN,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,0.0
lcbench_Australian,Random Search,1,9.150329589843764,0.0,16.29955947136564,0.0,0.0,0.0,2.0
lcbench_Fashion-MNIST,Bayesian Optimization,1,11.971832275390625,0.0,11.22510822510823,0.0,0.0,0.0,18.0
lcbench_Fashion-MNIST,CrossDataset-HyperRL,1,13.703323364257812,0.0,12.718614718614717,0.0,1.7314910888671875,0.0,3.0
lcbench_Fashion-MNIST,CrossDataset-LC-DQN,1,15.732009887695312,0.0,14.658008658008654,0.0,3.7601776123046875,0.0,18.0
lcbench_Fashion-MNIST,Random Search,1,13.296295166015625,0.0,12.532467532467535,0.0,1.324462890625,0.0,7.0
lcbench_KDDCup09_appetency,Bayesian Optimization,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,3.0
lcbench_KDDCup09_appetency,CrossDataset-HyperRL,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,16.0
lcbench_KDDCup09_appetency,CrossDataset-LC-DQN,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,1.0
lcbench_KDDCup09_appetency,Random Search,1,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,3.0
lcbench_MiniBooNE,Bayesian Optimization,1,10.734779357910156,0.0,10.97805321280461,0.0,0.0,0.0,18.0
lcbench_MiniBooNE,CrossDataset-HyperRL,1,13.022918701171875,0.0,13.314850193374028,0.0,2.2881393432617188,0.0,5.0
lcbench_MiniBooNE,CrossDataset-LC-DQN,1,13.022918701171875,0.0,13.314850193374028,0.0,2.2881393432617188,0.0,16.0
lcbench_MiniBooNE,Random Search,1,12.657791137695312,0.0,12.87218675737384,0.0,1.9230117797851562,0.0,10.0
lcbench_adult,Bayesian Optimization,1,19.46295928955078,0.0,19.47012471303593,0.0,0.0,0.0,14.0
lcbench_adult,CrossDataset-HyperRL,1,19.990737915039062,0.0,20.053359806415585,0.0,0.5277786254882812,0.0,0.0
lcbench_adult,CrossDataset-LC-DQN,1,20.018516540527344,0.0,19.95408574796798,0.0,0.5555572509765625,0.0,18.0
lcbench_adult,Random Search,1,19.46295928955078,0.0,19.47632934168891,0.0,0.0,0.0,8.0
lcbench_airlines,Bayesian Optimization,1,38.00164413452148,0.0,38.185475036096115,0.0,0.0,0.0,14.0
lcbench_airlines,CrossDataset-HyperRL,1,41.19723510742187,0.0,41.11024343106906,0.0,3.1955909729003906,0.0,14.0
lcbench_airlines,CrossDataset-LC-DQN,1,41.206459045410156,0.0,41.16530053877313,0.0,3.204814910888679,0.0,19.0
lcbench_airlines,Random Search,1,40.62704467773438,0.0,40.77765355595881,0.0,2.625400543212905,0.0,8.0
lcbench_albert,Bayesian Optimization,1,35.80264282226561,0.0,35.575682859565745,0.0,0.6328430175781108,0.0,16.0
lcbench_albert,CrossDataset-HyperRL,1,35.45803833007811,0.0,35.26213398513494,0.0,0.2882385253906108,0.0,7.0
lcbench_albert,CrossDataset-LC-DQN,1,36.09938049316406,0.0,35.9134605106571,0.0,0.9295806884765625,0.0,18.0
lcbench_albert,Random Search,1,35.1697998046875,0.0,34.89442666875699,0.0,0.0,0.0,8.0
lcbench_bank-marketing,Bayesian Optimization,1,16.274879455566406,0.0,16.73704671894899,0.0,4.3913116455078125,0.0,8.0
lcbench_bank-marketing,CrossDataset-HyperRL,1,11.883567810058594,0.0,11.716602989476513,0.0,0.0,0.0,15.0
lcbench_bank-marketing,CrossDataset-LC-DQN,1,14.574371337890625,0.0,14.47818218379247,0.0,2.6908035278320312,0.0,9.0
lcbench_bank-marketing,Random Search,1,12.063621520996094,0.0,11.294322675782567,0.0,0.1800537109375,0.0,15.0
lcbench_blood-transfusion-service-center,Bayesian Optimization,1,21.084335327148438,0.0,19.105691056910572,0.0,0.0,0.0,19.0
lcbench_blood-transfusion-service-center,CrossDataset-HyperRL,1,22.289154052734375,0.0,17.07317073170732,0.0,1.2048187255859375,0.0,19.0
lcbench_blood-transfusion-service-center,CrossDataset-LC-DQN,1,22.289154052734375,0.0,19.918699186991873,0.0,1.2048187255859375,0.0,4.0
lcbench_blood-transfusion-service-center,Random Search,1,31.927711486816392,0.0,26.016260162601625,0.0,10.843376159667955,0.0,1.0
lcbench_car,Bayesian Optimization,1,9.138381958007798,0.0,13.157894736842096,0.0,0.0,0.0,13.0
lcbench_car,CrossDataset-HyperRL,1,16.18798828125,0.0,20.701754385964904,0.0,7.049606323242202,0.0,12.0
lcbench_car,CrossDataset-LC-DQN,1,9.921669006347656,0.0,15.087719298245617,0.0,0.783287048339858,0.0,11.0
lcbench_car,Random Search,1,14.88250732421875,0.0,19.473684210526315,0.0,5.744125366210952,0.0,10.0
lcbench_christine,Bayesian Optimization,1,27.37896728515625,0.0,27.40492170022371,0.0,0.9181976318359375,0.0,2.0
lcbench_christine,CrossDataset-HyperRL,1,27.54590606689453,0.0,27.852348993288587,0.0,1.0851364135742188,0.0,7.0
lcbench_christine,CrossDataset-LC-DQN,1,26.460769653320312,0.0,27.62863534675614,0.0,0.0,0.0,17.0
lcbench_christine,Random Search,1,27.045074462890625,0.0,28.299776286353477,0.0,0.5843048095703125,0.0,14.0
lcbench_cnae-9,Bayesian Optimization,1,3.7656936645507812,0.0,5.898876404494374,0.0,0.4184112548828267,0.0,3.0
lcbench_cnae-9,CrossDataset-HyperRL,1,4.1840972900390625,0.0,5.337078651685388,0.0,0.836814880371108,0.0,9.0
lcbench_cnae-9,CrossDataset-LC-DQN,1,3.3472824096679545,0.0,5.337078651685388,0.0,0.0,0.0,1.0
lcbench_cnae-9,Random Search,1,4.602508544921875,0.0,8.146067415730343,0.0,1.2552261352539205,0.0,10.0
lcbench_connect-4,Bayesian Optimization,1,29.448387145996094,0.0,28.470820436908454,0.0,0.0,0.0,18.0
lcbench_connect-4,CrossDataset-HyperRL,1,34.51599884033203,0.0,34.28879020320281,0.0,5.0676116943359375,0.0,4.0
lcbench_connect-4,CrossDataset-LC-DQN,1,34.51599884033203,0.0,34.28879020320281,0.0,5.0676116943359375,0.0,1.0
lcbench_connect-4,Random Search,1,34.51599884033203,0.0,34.28879020320281,0.0,5.0676116943359375,0.0,3.0
lcbench_covertype,Bayesian Optimization,1,29.590072631835938,0.0,29.426184192683607,0.0,0.0,0.0,19.0
lcbench_covertype,CrossDataset-HyperRL,1,36.26597595214844,0.0,36.21058341243598,0.0,6.6759033203125,0.0,16.0
lcbench_covertype,CrossDataset-LC-DQN,1,36.59759140014648,0.0,36.3654855163925,0.0,7.00751876831054,0.0,18.0
lcbench_covertype,Random Search,1,33.81777954101561,0.0,33.60541166407627,0.0,4.227706909179673,0.0,8.0
lcbench_credit-g,Bayesian Optimization,1,26.126129150390625,0.0,28.787878787878782,0.0,0.0,0.0,12.0
lcbench_credit-g,CrossDataset-HyperRL,1,28.378379821777344,0.0,30.303030303030297,0.0,2.2522506713867188,0.0,3.0
lcbench_credit-g,CrossDataset-LC-DQN,1,28.378379821777344,0.0,28.787878787878782,0.0,2.2522506713867188,0.0,11.0
lcbench_credit-g,Random Search,1,27.47747802734375,0.0,32.12121212121211,0.0,1.351348876953125,0.0,16.0
lcbench_dionis,Bayesian Optimization,1,0.416431188583374,0.0,0.3738259236067627,0.0,0.16626816987991333,0.0,5.0
lcbench_dionis,CrossDataset-HyperRL,1,0.416431188583374,0.0,0.3738259236067627,0.0,0.16626816987991333,0.0,4.0
lcbench_dionis,CrossDataset-LC-DQN,1,0.2501630187034607,0.0,0.2282040453757772,0.0,0.0,0.0,11.0
lcbench_dionis,Random Search,1,0.416431188583374,0.0,0.3738259236067627,0.0,0.16626816987991333,0.0,4.0
lcbench_fabert,Bayesian Optimization,1,33.11367034912111,0.0,35.60132401618242,0.0,0.0,0.0,6.0
lcbench_fabert,CrossDataset-HyperRL,1,33.66281890869139,0.0,35.63810224347186,0.0,0.5491485595702841,0.0,13.0
lcbench_fabert,CrossDataset-LC-DQN,1,33.77265167236328,0.0,35.15998528870908,0.0,0.6589813232421733,0.0,12.0
lcbench_fabert,Random Search,1,34.43163299560547,0.0,34.718646561235744,0.0,1.3179626464843608,0.0,10.0
lcbench_helena,Bayesian Optimization,1,71.73777389526367,0.0,72.3820590285847,0.0,71.38293516635895,0.0,19.0
lcbench_helena,CrossDataset-HyperRL,1,0.4588969945907593,0.0,0.423657913083895,0.0,0.10405826568603516,0.0,5.0
lcbench_helena,CrossDataset-LC-DQN,1,81.57474899291992,0.0,82.15663490587963,0.0,81.2199102640152,0.0,12.0
lcbench_helena,Random Search,1,0.3548387289047241,0.0,0.39112247269346967,0.0,0.0,0.0,15.0
lcbench_higgs,Bayesian Optimization,1,29.52490997314453,0.0,29.756459389294093,0.0,0.0,0.0,14.0
lcbench_higgs,CrossDataset-HyperRL,1,32.08026123046875,0.0,31.84880702188157,0.0,2.5553512573242188,0.0,3.0
lcbench_higgs,CrossDataset-LC-DQN,1,34.22509002685547,0.0,34.367659784893064,0.0,4.7001800537109375,0.0,11.0
lcbench_higgs,Random Search,1,31.45294952392578,0.0,30.967981209049327,0.0,1.92803955078125,0.0,10.0
lcbench_jannis,Bayesian Optimization,1,39.12174606323242,0.0,38.46627099015634,0.0,1.3233222961425781,0.0,17.0
lcbench_jannis,CrossDataset-HyperRL,1,40.8177604675293,0.0,40.25767226404169,0.0,3.019336700439453,0.0,12.0
lcbench_jannis,CrossDataset-LC-DQN,1,39.775306701660156,0.0,39.562825709322524,0.0,1.9768829345703125,0.0,18.0
lcbench_jannis,Random Search,1,37.798423767089844,0.0,37.358859293572664,0.0,0.0,0.0,10.0
lcbench_jasmine,Bayesian Optimization,1,18.30559539794922,0.0,24.796747967479675,0.0,0.0,0.0,11.0
lcbench_jasmine,CrossDataset-HyperRL,1,18.30559539794922,0.0,23.983739837398375,0.0,0.0,0.0,13.0
lcbench_jasmine,CrossDataset-LC-DQN,1,18.456886291503906,0.0,24.08536585365853,0.0,0.1512908935546875,0.0,14.0
lcbench_jasmine,Random Search,1,18.30559539794922,0.0,23.577235772357724,0.0,0.0,0.0,4.0
