task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.02023315429687216,0.2978616189040798,2,3,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.236846923828125,0.3491171489839574,3,2,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.1273498535156193,0.24262713994451998,3,1,1,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.21661376953125283,0.18717536165886872,4,0,1,5
lcbench_APSFailure,HyperRL-MLP,Random Search,-0.10711669921874716,0.2958455109237681,3,2,0,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,0.10949707031250569,0.3742371862206486,1,4,0,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,-0.13071899414062216,0.2922965568488278,1,0,4,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.13071899414062216,0.546836785531003,2,1,2,5
lcbench_Australian,Bayesian Optimization,Random Search,0.13071899414062785,0.2922965568488406,0,1,4,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.6535949707031108,2,2,1,5
lcbench_Australian,HyperRL-MLP,Random Search,0.26143798828125,0.35798870892602974,0,2,3,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,0.26143798828125,0.745212923564088,1,2,2,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,-0.8231048583984375,0.9265042260534098,4,0,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.3464279174804688,1.0787250119248284,5,0,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,-0.648663330078125,0.5362947291089956,5,0,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.5233230590820312,0.7285821704068124,3,1,1,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,0.1744415283203125,0.6793656627432434,2,2,1,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,0.6977645874023437,1.0229692126780598,0,2,3,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,-2.0509796142578125,1.3482328079227177,5,0,0,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.4918121337890624,0.6962091830000727,5,0,0,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,-1.059918212890625,0.4582374526637442,5,0,0,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.55916748046875,1.10852101324612,0,2,3,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,0.9910614013671875,1.281235100667066,0,3,2,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,0.4318939208984375,0.468679719781088,0,3,2,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,-0.1277801513671875,0.21189378740843962,4,1,0,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.8259246826171875,0.813747829342207,1,4,0,5
lcbench_adult,Bayesian Optimization,Random Search,-0.18148345947265626,0.14649025931063198,4,1,0,5
lcbench_adult,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.953704833984375,0.9674280240654294,1,3,1,5
lcbench_adult,HyperRL-MLP,Random Search,-0.05370330810546875,0.12953321114908756,3,1,1,5
lcbench_adult,OurMethod-LC-DQN-MLP,Random Search,-1.0074081420898438,0.9211551642714436,3,0,2,5
lcbench_bank-marketing,Bayesian Optimization,HyperRL-MLP,-0.17205047607421875,0.29727264341889703,3,2,0,5
lcbench_bank-marketing,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.13003692626953126,0.33803463902852604,3,2,0,5
lcbench_bank-marketing,Bayesian Optimization,Random Search,-0.0840240478515625,0.4049399088368236,3,2,0,5
lcbench_bank-marketing,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0420135498046875,0.12381050665842674,1,1,3,5
lcbench_bank-marketing,HyperRL-MLP,Random Search,0.08802642822265624,0.2258305748341227,1,1,3,5
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,Random Search,0.04601287841796875,0.10288792398301111,0,1,4,5
lcbench_credit-g,Bayesian Optimization,HyperRL-MLP,-1.3513504028320313,1.0563977404853198,4,0,1,5
lcbench_credit-g,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.810809326171875,0.7401642629664996,3,0,2,5
lcbench_credit-g,Bayesian Optimization,Random Search,-0.7207199096679687,1.037013853938964,2,0,3,5
lcbench_credit-g,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.5405410766601563,0.37687425962735643,0,4,1,5
lcbench_credit-g,HyperRL-MLP,Random Search,0.6306304931640625,1.0370151795423503,1,3,1,5
lcbench_credit-g,OurMethod-LC-DQN-MLP,Random Search,0.09008941650390626,0.8057895686260262,1,1,3,5
