total_consumed_evals,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
3001,CrossDataset-LC-DQN,75,0.4536429875854208,0.46900222667174357
3002,CrossDataset-LC-DQN,75,0.21562254848410675,0.19830857549310033
3003,CrossDataset-LC-DQN,75,0.14342527073718728,0.16338917153401802
3004,CrossDataset-LC-DQN,75,0.10179573686893983,0.10805950469087254
3005,CrossDataset-LC-DQN,75,0.0718102354615622,0.067515499783354
3006,CrossDataset-LC-DQN,75,0.06445559384153124,0.06506420389987086
3007,CrossDataset-LC-DQN,75,0.05755112088164318,0.061165559588026615
3008,CrossDataset-LC-DQN,75,0.05069126551927555,0.051816339498853205
3009,CrossDataset-LC-DQN,75,0.04780057920854334,0.050863883321901684
3010,CrossDataset-LC-DQN,75,0.0463674655542952,0.05096944142396603
3011,CrossDataset-LC-DQN,75,0.04249365491012788,0.04908543702570275
3012,CrossDataset-LC-DQN,75,0.04060874147358088,0.04698633478602086
3013,CrossDataset-LC-DQN,75,0.0289008429345849,0.023091354831172042
3014,CrossDataset-LC-DQN,75,0.028530308113144123,0.0233812672712389
3015,CrossDataset-LC-DQN,75,0.027614562690362075,0.023266112751896516
3016,CrossDataset-LC-DQN,75,0.026020638069613265,0.021721573068599256
3017,CrossDataset-LC-DQN,75,0.025069752256314404,0.019048078312378317
3018,CrossDataset-LC-DQN,75,0.024706271550226384,0.01937846681882226
3019,CrossDataset-LC-DQN,75,0.023716366109638617,0.019887910237194925
3020,CrossDataset-LC-DQN,75,0.022894327870010098,0.01966382723989604
