total_consumed_evals,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
3001,CrossDataset-LC-DQN,75,0.6790727596679557,0.8464111282906583
3002,CrossDataset-LC-DQN,75,0.11008628979037108,0.09984089656246624
3003,CrossDataset-LC-DQN,75,0.0759095271490584,0.059569066240753095
3004,CrossDataset-LC-DQN,75,0.07183772450812083,0.05873875117938995
3005,CrossDataset-LC-DQN,75,0.07073452945615631,0.05816810763447805
3006,CrossDataset-LC-DQN,75,0.05570883384210826,0.04425344627684619
3007,CrossDataset-LC-DQN,75,0.04954081573909839,0.042873311102742485
3008,CrossDataset-LC-DQN,75,0.04370163179260502,0.03494840690812667
3009,CrossDataset-LC-DQN,75,0.042171739561056625,0.03371497951095143
3010,CrossDataset-LC-DQN,75,0.03986125138529298,0.03160735047767767
3011,CrossDataset-LC-DQN,75,0.03193920882051081,0.026332754624231677
3012,CrossDataset-LC-DQN,75,0.03003503144291825,0.02643394333061439
3013,CrossDataset-LC-DQN,75,0.027851764160459633,0.0238691831569717
3014,CrossDataset-LC-DQN,75,0.026765131860881985,0.02321034297399323
3015,CrossDataset-LC-DQN,75,0.025451117576622263,0.021345426279930135
3016,CrossDataset-LC-DQN,75,0.025451117576622263,0.021345426279930135
3017,CrossDataset-LC-DQN,75,0.024379481718353645,0.019670280349163297
3018,CrossDataset-LC-DQN,75,0.023014906101937425,0.01915620827771537
3019,CrossDataset-LC-DQN,75,0.022285945388886095,0.019317997460461277
3020,CrossDataset-LC-DQN,75,0.022285945388886095,0.019317997460461277
