task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_APSFailure,Bayesian Optimization,5,1.6567474365234403,0.1907390585170957,1.6961722488038276,0.18628566668005545,0.2249465942382841,0.22544681763946317,14.4
lcbench_APSFailure,HyperRL-MLP,5,1.7781478881835966,0.15537823551479368,1.810207336523132,0.12129996606998768,0.34634704589844034,0.21091969240209502,11.6
lcbench_APSFailure,OurMethod-LC-DQN-MLP,5,1.804333496093753,0.3557027106687327,1.8165869218500803,0.39837105583753823,0.37253265380859657,0.25215020902830815,12.2
lcbench_APSFailure,Random Search,5,1.7376815795898437,0.23364832480158637,1.802232854864434,0.21773401820535837,0.3058807373046875,0.2855412455732334,10.6
lcbench_Australian,Bayesian Optimization,5,9.542486572265634,0.5845931136976613,16.56387665198238,1.014173077816859,0.392156982421875,0.5845931136976684,8.8
lcbench_Australian,HyperRL-MLP,5,9.80392456054688,0.8004870883359824,16.29955947136564,0.8241536094215739,0.6535949707031221,1.1320596968293044,7.6
lcbench_Australian,OurMethod-LC-DQN-MLP,5,9.411767578125009,0.3579887089260219,16.211453744493394,0.8473737472101918,0.26143798828125,0.35798870892602974,8.0
lcbench_Australian,Random Search,5,9.411767578125005,0.7452129235640916,16.29955947136564,0.4405286343612289,0.26143798828124715,0.35798870892602586,9.8
lcbench_Fashion-MNIST,Bayesian Optimization,5,11.958908081054688,1.9923067493137105,11.219913419913421,1.9355403892103713,0.8696212768554688,1.9445322897289927,16.4
lcbench_Fashion-MNIST,HyperRL-MLP,5,12.602403259277343,1.7838812620622124,11.840692640692637,1.833632046073668,1.513116455078125,1.3317541306225387,6.6
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,5,13.313090515136718,2.289846874919568,12.38268398268398,2.197336672056965,2.2238037109375,2.1016843448735067,4.8
lcbench_Fashion-MNIST,Random Search,5,12.762631225585938,1.8956680293829127,11.906493506493504,1.861574043304395,1.6733444213867188,2.0119931365515185,7.6
lcbench_MiniBooNE,Bayesian Optimization,5,10.809194946289063,1.0629656519619997,11.02511532547411,1.1892114656952912,0.42354888916015626,0.9431992754879485,15.6
lcbench_MiniBooNE,HyperRL-MLP,5,11.917098999023438,1.342432171608991,12.258515446624108,1.4291832219658245,1.5314529418945313,1.110506692627288,3.6
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,5,11.312724304199218,1.6768200472172503,11.511579143562741,1.619355364767002,0.9270782470703125,1.5858865032315845,9.6
lcbench_MiniBooNE,Random Search,5,12.3378662109375,1.9564638786333721,12.619635618097941,1.984022723213268,1.9522201538085937,1.6983898136276938,7.4
lcbench_adult,Bayesian Optimization,5,20.012962341308594,0.7316777664840088,20.007445554383573,0.6188257859462449,0.6,0.6225919502195072,15.6
lcbench_adult,HyperRL-MLP,5,19.772222900390624,0.31115787767182773,19.81634299187193,0.2727708879211569,0.35926055908203125,0.35952953093304585,9.2
lcbench_adult,OurMethod-LC-DQN-MLP,5,19.640740966796876,0.3586936711008883,19.683563938698263,0.3368147674826422,0.22777862548828126,0.35690995412382814,5.0
lcbench_adult,Random Search,5,19.759259033203126,0.4702214022143877,19.823788546255503,0.47727268384022126,0.34629669189453127,0.48012662929460753,8.6
lcbench_bank-marketing,Bayesian Optimization,5,12.497747802734375,1.9106598684810716,12.429787519270732,2.2608258123393288,0.890264892578125,1.6561984188835548,9.2
lcbench_bank-marketing,HyperRL-MLP,5,13.366009521484376,2.2894155080310856,13.382934513037068,2.7306147322221905,1.758526611328125,2.3123758274080997,6.2
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,5,13.582073974609376,2.6757375656091735,13.594744956096255,3.109602152231442,1.974591064453125,2.72769033220799,8.4
lcbench_bank-marketing,Random Search,5,12.015605163574218,0.7780319823810542,11.617400630069046,0.9499093200665262,0.40812225341796876,0.9070080782969681,11.6
lcbench_credit-g,Bayesian Optimization,5,27.747744750976562,0.4028955306810114,29.636363636363637,1.3278122606185856,1.1711685180664062,0.8780884946290584,9.2
lcbench_credit-g,HyperRL-MLP,5,27.477474975585938,0.4504508972200274,29.87878787878788,1.0409432749889453,0.9008987426757813,1.2740634899572176,10.4
lcbench_credit-g,OurMethod-LC-DQN-MLP,5,27.29729766845703,0.6831400941150534,29.636363636363637,0.8131156281817421,0.720721435546875,0.9340730216607043,6.2
lcbench_credit-g,Random Search,5,27.11711730957031,1.0754343804181346,30.303030303030305,1.2121212121212057,0.5405410766601563,0.7401628700425582,9.0
