task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_blood-transfusion-service-center,Random Search,1,31.927711486816392,0.0,26.016260162601625,0.0,10.843376159667955,0.0,1.0
lcbench_car,Bayesian Optimization,1,9.138381958007798,0.0,13.157894736842096,0.0,0.0,0.0,13.0
lcbench_car,CrossDataset-HyperRL,1,19.06005096435547,0.0,23.15789473684211,0.0,9.92166900634767,0.0,10.0
lcbench_car,CrossDataset-LC-DQN,1,13.5770263671875,0.0,19.122807017543863,0.0,4.438644409179702,0.0,11.0
lcbench_car,Random Search,1,14.88250732421875,0.0,19.473684210526315,0.0,5.744125366210952,0.0,10.0
lcbench_christine,Bayesian Optimization,1,27.37896728515625,0.0,27.40492170022371,0.0,1.1686172485351562,0.0,2.0
lcbench_christine,CrossDataset-HyperRL,1,26.210350036621094,0.0,27.852348993288587,0.0,0.0,0.0,7.0
lcbench_christine,CrossDataset-LC-DQN,1,27.212020874023438,0.0,28.52348993288591,0.0,1.0016708374023438,0.0,18.0
lcbench_christine,Random Search,1,27.045074462890625,0.0,28.299776286353477,0.0,0.8347244262695312,0.0,14.0
lcbench_cnae-9,Bayesian Optimization,1,3.7656936645507812,0.0,5.898876404494374,0.0,0.0,0.0,3.0
lcbench_cnae-9,CrossDataset-HyperRL,1,5.0209197998046875,0.0,6.460674157303373,0.0,1.2552261352539062,0.0,5.0
lcbench_cnae-9,CrossDataset-LC-DQN,1,3.7656936645507812,0.0,7.022471910112358,0.0,0.0,0.0,11.0
lcbench_cnae-9,Random Search,1,4.602508544921875,0.0,8.146067415730343,0.0,0.8368148803710938,0.0,10.0
lcbench_connect-4,Bayesian Optimization,1,29.448387145996094,0.0,28.470820436908454,0.0,0.0,0.0,18.0
lcbench_connect-4,CrossDataset-HyperRL,1,34.50260925292969,0.0,34.29776162921097,0.0,5.054222106933594,0.0,11.0
lcbench_connect-4,CrossDataset-LC-DQN,1,34.51599884033203,0.0,34.28879020320281,0.0,5.0676116943359375,0.0,2.0
lcbench_connect-4,Random Search,1,34.51599884033203,0.0,34.28879020320281,0.0,5.0676116943359375,0.0,3.0
lcbench_covertype,Bayesian Optimization,1,29.590072631835938,0.0,29.426184192683607,0.0,0.0,0.0,19.0
lcbench_covertype,CrossDataset-HyperRL,1,36.160888671875,0.0,35.820459595063994,0.0,6.5708160400390625,0.0,17.0
lcbench_covertype,CrossDataset-LC-DQN,1,38.16070175170898,0.0,37.969791481948945,0.0,8.57062911987304,0.0,8.0
lcbench_covertype,Random Search,1,33.81777954101561,0.0,33.60541166407627,0.0,4.227706909179673,0.0,8.0
lcbench_credit-g,Bayesian Optimization,1,26.126129150390625,0.0,28.787878787878782,0.0,0.0,0.0,12.0
lcbench_credit-g,CrossDataset-HyperRL,1,27.027023315429688,0.0,30.303030303030297,0.0,0.9008941650390625,0.0,0.0
lcbench_credit-g,CrossDataset-LC-DQN,1,27.027023315429688,0.0,30.303030303030297,0.0,0.9008941650390625,0.0,6.0
lcbench_credit-g,Random Search,1,27.47747802734375,0.0,32.12121212121211,0.0,1.351348876953125,0.0,16.0
lcbench_dionis,Bayesian Optimization,1,0.416431188583374,0.0,0.3738259236067627,0.0,0.37383174896240245,0.0,5.0
lcbench_dionis,CrossDataset-HyperRL,1,0.278417706489563,0.0,0.32067393805245303,0.0,0.23581826686859142,0.0,6.0
