task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.35705871582030396,0.8187313968071991,3,2,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.12021026611327557,0.3832384489107072,3,2,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.11068725585936931,0.5708072140539561,2,3,0,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.2368484497070284,0.5104233753907991,1,4,0,5
lcbench_APSFailure,HyperRL-MLP,Random Search,0.24637145996093465,0.8951673081588921,2,3,0,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,0.00952301025390625,0.5421368403059339,3,2,0,5
lcbench_Amazon_employee_access,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,-0.5228759765625,1.0739661267780827,2,1,2,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,-2.842170943040401e-15,0.8004870883359766,1,2,2,5
lcbench_Australian,Bayesian Optimization,Random Search,-2.842170943040401e-15,0.46216143593359754,1,1,3,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.5228759765624972,0.8521835810072329,0,2,3,5
lcbench_Australian,HyperRL-MLP,Random Search,0.5228759765624972,1.490425847128177,1,2,2,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,0.0,1.0334243873264357,2,2,1,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,1.5001937866210937,3.0297626570777614,2,3,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,1.5169921875,2.961346809307373,3,2,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,2.2418914794921876,2.50839590885022,1,4,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.01679840087890625,0.4121922911757835,1,2,2,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,0.7416976928710938,1.7488637857652103,1,2,2,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,0.7248992919921875,1.3711028805499863,1,2,2,5
lcbench_KDDCup09_appetency,Bayesian Optimization,HyperRL-MLP,0.050651550292971595,0.11326030962083387,0,1,4,5
lcbench_KDDCup09_appetency,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.050651550292971595,0.11326030962083387,0,1,4,5
lcbench_KDDCup09_appetency,Bayesian Optimization,Random Search,-0.33285064697265626,0.7442766729856439,1,0,4,5
lcbench_KDDCup09_appetency,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,Random Search,-0.38350219726562784,0.8575369826064778,1,0,4,5
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,Random Search,-0.38350219726562784,0.8575369826064778,1,0,4,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,1.5954360961914062,2.394611019977594,1,4,0,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,1.7296646118164063,2.214897880136359,1,4,0,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,1.0369644165039062,3.279955342125068,2,3,0,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.134228515625,0.4996061871293078,1,2,2,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,-0.5584716796875,1.322220170273477,2,1,2,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,-0.6927001953125,1.7953887816134722,2,1,2,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,0.02036895751953125,1.809723759827865,2,3,0,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.04999847412109375,1.8092386859823317,2,3,0,5
lcbench_adult,Bayesian Optimization,Random Search,-0.0166656494140625,1.735569642809418,1,4,0,5
lcbench_adult,HyperRL-MLP,OurMethod-LC-DQN-MLP,-0.070367431640625,0.49294572833971084,2,1,2,5
lcbench_adult,HyperRL-MLP,Random Search,-0.03703460693359375,1.0772029938276844,2,1,2,5
lcbench_adult,OurMethod-LC-DQN-MLP,Random Search,0.03333282470703125,0.6113419832084795,1,2,2,5
lcbench_airlines,Bayesian Optimization,HyperRL-MLP,0.8930221557617187,1.8205526430660945,2,2,1,5
