task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,normalized_simple_regret_mean,normalized_simple_regret_std,best_iteration_mean
playground-series-s3e1,CrossDataset-LC-DQN,5,0.6657651982157307,0.0023061001621361246,0.6667145269454567,0.003128314073205882,0.0,0.0,0.02642470323400063,0.00916268355712044,9.8
playground-series-s3e11,CrossDataset-LC-DQN,5,29.764445139060985,0.029287858820813528,29.785436846217344,0.03101559742516355,0.0,0.0,0.024550051843632105,0.014930251603037185,10.2
playground-series-s3e14,CrossDataset-LC-DQN,5,613.6968716371432,1.6751326563245403,539.0859107217152,3.540718747549887,0.0,0.0,0.014217346018008522,0.009339855695898722,8.4
playground-series-s3e16,CrossDataset-LC-DQN,5,2.0436336679096097,0.0005791862904270681,2.073666324099802,0.0038002053499474565,0.0,0.0,0.023575524633227516,0.0019923214755279968,5.2
playground-series-s3e25,CrossDataset-LC-DQN,5,1.3430972537336447,0.0034427792071975733,1.31933755163141,0.009242200915436732,0.0,0.0,0.045323295604319136,0.02311409114723386,11.0
playground-series-s3e6,CrossDataset-LC-DQN,5,131421.71013110856,20724.150501729087,276457.3180828839,9861.588120691931,0.0,0.0,0.019951459631462772,0.01985388682423104,7.6
playground-series-s3e8,CrossDataset-LC-DQN,5,758.609983312786,14.407662123571816,696.0621453836216,28.70044575831156,0.0,0.0,0.07172652476950257,0.017199410837516978,11.2
playground-series-s3e9,CrossDataset-LC-DQN,5,11.96796015261266,0.022718551966633797,12.592595879737072,0.09179139617834937,0.0,0.0,0.029278250381456154,0.010871297516528593,12.8
playground-series-s4e12,CrossDataset-LC-DQN,5,868.8709908209264,0.14774574141714666,865.1001029561642,2.7793855547555832,0.0,0.0,0.002458706356609432,0.0010919097215216194,11.8
playground-series-s4e4,CrossDataset-LC-DQN,5,1.9238811164093903,0.004779391656110951,1.8912089948562272,0.010124850050876514,0.0,0.0,0.02976063773656587,0.012639004211944175,8.6
playground-series-s4e5,CrossDataset-LC-DQN,5,0.020594117258361168,8.840604027243134e-05,0.020499395791347443,8.712441905832064e-05,0.0,0.0,0.01067025883052656,0.01096759062834053,7.0
playground-series-s4e9,CrossDataset-LC-DQN,5,67604.26874063164,195.23954082396205,79818.08553608098,119.53709760910465,0.0,0.0,0.01490727716991902,0.011704620712984712,6.0
playground-series-s5e2,CrossDataset-LC-DQN,5,39.10545462055254,0.007873129762218958,39.03579353696495,0.008620604978495719,0.0,0.0,0.002084347335242186,0.0013154988197902756,12.0
playground-series-s5e4,CrossDataset-LC-DQN,5,13.760184346478114,0.09586907974716663,13.662669099073783,0.09183742057026673,0.0,0.0,0.03904735212664552,0.022656974110233725,11.6
playground-series-s5e5,CrossDataset-LC-DQN,5,4.296573312453589,0.1263744910601553,4.41707461529031,0.12395366704152824,0.0,0.0,0.02777645733671148,0.01103792530264841,7.6
