task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,normalized_simple_regret_mean,normalized_simple_regret_std,best_iteration_mean
playground-series-s3e1,CrossDataset-LC-DQN,5,0.6674087858210446,0.003888569295222969,0.6663793465895542,0.0041859188751240655,0.0,0.0,0.03295506708079342,0.015450209200392815,2.6
playground-series-s3e11,CrossDataset-LC-DQN,5,29.807225372556733,0.05142978182002273,29.823743402105542,0.046113638627626165,0.0,0.0,0.04635839412074981,0.026217675630031537,1.8
playground-series-s3e14,CrossDataset-LC-DQN,5,615.6458088230357,1.3139865571500426,542.2059175736453,2.960571446587473,0.0,0.0,0.025083823969996904,0.0073262525112844055,7.0
playground-series-s3e16,CrossDataset-LC-DQN,5,2.046111073147516,0.007651707184316403,2.0773271002036457,0.007123950124167341,0.0,0.0,0.03209745918286398,0.026320824231741834,3.8
playground-series-s3e25,CrossDataset-LC-DQN,5,1.3468690205708809,0.003927528183078706,1.318679883799293,0.008501343697176741,0.0,0.0,0.07064614008988089,0.026368593204356857,2.6
playground-series-s3e6,CrossDataset-LC-DQN,5,162403.1384746067,32234.02359716565,292501.26756005775,15515.25112699072,0.0,0.0,0.04963189318812487,0.030880428914773828,3.6
playground-series-s3e8,CrossDataset-LC-DQN,5,739.8220091254948,28.570720246512902,693.5259707361926,13.35986361491675,0.0,0.0,0.04929803608894115,0.03410682116424566,5.8
playground-series-s3e9,CrossDataset-LC-DQN,5,11.985782870327457,0.05617099611929195,12.516537835195884,0.08452678617121724,0.0,0.0,0.03780678983745778,0.02687898469539104,4.0
playground-series-s4e12,CrossDataset-LC-DQN,5,871.0325961226907,3.733706552838018,865.7068013588225,3.2300869621087216,0.0,0.0,0.01843397454674383,0.027593827363471223,3.8
playground-series-s4e4,CrossDataset-LC-DQN,5,1.9325525847184246,0.014752966016903053,1.88962662566275,0.002250880098338456,0.0,0.0,0.05269215964720288,0.03901391914343215,2.2
playground-series-s4e5,CrossDataset-LC-DQN,5,0.020589905995810506,0.00010985833301873518,0.020475497697696392,0.00012809821805533718,0.0,0.0,0.010147812586561847,0.013628946845130043,5.2
playground-series-s4e9,CrossDataset-LC-DQN,5,68164.00483966831,759.4789439139157,80232.80764150509,585.0705678031972,0.0,0.0,0.04846348566611171,0.04553080252337676,4.8
playground-series-s5e2,CrossDataset-LC-DQN,5,39.18743675643891,0.11428794242419618,39.119134441365276,0.11556692955203934,0.0,0.0,0.01578250883639527,0.019096046669617665,5.4
playground-series-s5e4,CrossDataset-LC-DQN,5,13.877565953131207,0.1330811842714058,13.776433948574544,0.12501715821951861,0.0,0.0,0.06678843433970737,0.03145140179240741,4.4
playground-series-s5e5,CrossDataset-LC-DQN,5,4.278652858478067,0.19399405399748174,4.402713586415702,0.18630729682953234,0.0,0.0,0.026211231390304294,0.016944019787687004,6.6
