task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,normalized_simple_regret_mean,normalized_simple_regret_std,best_iteration_mean
playground-series-s3e1,Bayesian Optimization,5,0.6632349267503646,0.002811662234468293,0.6617914225612518,0.003490666947056482,0.0018725692045792552,0.003238995037364524,0.016371333856806697,0.011171401722670898,4.8
playground-series-s3e1,CrossDataset-HyperRL,5,0.6639804254929679,0.003497642218102743,0.6645682101287625,0.0029187726355282724,0.002618067947182645,0.0027953141188809564,0.019333377389373272,0.01389696309236396,3.0
playground-series-s3e1,CrossDataset-LC-DQN,5,0.6634860020987409,0.002191333018517283,0.659936718439339,0.00281321860250274,0.0021236445529556392,0.002413876283564591,0.017368915836956083,0.008706686442597898,5.2
playground-series-s3e1,Random Search,5,0.6684891343397632,0.0010870963213840483,0.6664185065201794,0.005038726541962935,0.007126776793977996,0.0009542229095190936,0.03724754828822457,0.004319291829772559,5.6
playground-series-s3e11,Bayesian Optimization,5,29.751381657882494,0.03306041191094341,29.773429248586808,0.026321157555038936,0.011823826076901866,0.01900400434744103,0.017890600840412184,0.016853409153271853,5.0
playground-series-s3e11,CrossDataset-HyperRL,5,29.762939282835106,0.029980528396246403,29.778021396399804,0.024660334035354753,0.02338145102951472,0.028357427920256927,0.023782402270205387,0.015283358025130164,6.4
playground-series-s3e11,CrossDataset-LC-DQN,5,29.8366063403459,0.06672061891200877,29.848553632359803,0.07630469488318574,0.09704850854030696,0.0861211473904093,0.061336110454223026,0.03401257953205956,5.0
playground-series-s3e11,Random Search,5,29.786337862087095,0.04895933602658929,29.8021654101674,0.046056339994840025,0.04678003028150286,0.040835670106912636,0.0357104396703831,0.02495830131068341,4.0
playground-series-s3e14,Bayesian Optimization,5,615.436482374099,1.2434811392169947,541.6705023713853,2.4761304203312466,2.0670717565142924,0.7580524730941905,0.02391670516360129,0.0069331430898977075,4.8
playground-series-s3e14,CrossDataset-HyperRL,5,614.66342576436,2.0628326739782836,543.5549350659238,3.2294988653304304,1.2940151467752912,2.178366473400321,0.019606457164756168,0.011501512687368539,5.6
playground-series-s3e14,CrossDataset-LC-DQN,5,615.7634567178416,2.7632814201302662,540.5902097124751,3.4303927017957867,2.3940461002568325,2.1899887078714837,0.025739780593052444,0.015406928886338067,4.4
playground-series-s3e14,Random Search,5,615.3499019485984,2.8453752897830995,542.457903950259,4.747362279523114,1.9804913310136272,2.2864805047949788,0.023433968063818398,0.015864650782678933,4.6
playground-series-s3e16,Bayesian Optimization,5,2.0458307331889922,0.00565840867527864,2.0726875061479624,0.0007363543480488246,0.0022221884758823586,0.003164360993712354,0.031133128139387095,0.019464150494237432,5.2
playground-series-s3e16,CrossDataset-HyperRL,5,2.0505644443554294,0.005619196778415482,2.077657496802929,0.007626135781050481,0.0069558996423194405,0.0054938584028066265,0.047416445910747326,0.01932926694207487,4.0
playground-series-s3e16,CrossDataset-LC-DQN,5,2.0454236387345346,0.003001351821589113,2.073839188389916,0.009421065075793858,0.0018150940214243683,0.0023306988283424888,0.02973277899854855,0.010324239003236613,5.6
playground-series-s3e16,Random Search,5,2.046891296405575,0.004873669861820515,2.0793024210160387,0.007939995711142114,0.0032827516924653468,0.002423940027668991,0.034781320279769615,0.016764756505508596,3.4
playground-series-s3e25,Bayesian Optimization,5,1.342853052755999,0.0026658569341241876,1.3215330538090777,0.009612774549466152,0.0038105581876070717,0.004630377013132185,0.043683781910340336,0.017897999393051325,5.2
playground-series-s3e25,CrossDataset-HyperRL,5,1.3413812680054702,0.0031713023148236233,1.3146425346092843,0.0065089602728911015,0.002338773437078201,0.0036167771852180855,0.0338025305069067,0.02129145273301877,4.8
playground-series-s3e25,CrossDataset-LC-DQN,5,1.3417565251792503,0.003772496633011859,1.315331572488961,0.006502194915341271,0.002714030610858398,0.0032354052144432936,0.03632192777184756,0.0253277441799842,3.6
playground-series-s3e25,Random Search,5,1.3431604350954176,0.003819720242073577,1.3199033958844173,0.010797504682167083,0.004117940527025609,0.0023599222992721305,0.04574748189886021,0.025644793499287603,5.4
playground-series-s3e6,Bayesian Optimization,5,145376.71283040347,27997.5401498727,285410.5969210959,18908.612903036366,23019.781721262803,35113.83519128449,0.03332045365611646,0.026821846977325307,4.4
playground-series-s3e6,CrossDataset-HyperRL,5,160340.22450017693,33903.462426666745,291471.1541591236,17345.920260530485,37983.29339103627,29974.152262780903,0.0476556066053269,0.03247976344856455,3.4
playground-series-s3e6,CrossDataset-LC-DQN,5,146493.30949395415,32444.685246158027,283772.87666423,14426.585336457965,24136.37838481349,28976.311615734583,0.03439016137632433,0.031082244305805255,6.6
playground-series-s3e6,Random Search,5,158064.85567201933,20208.21235248784,290527.0958209507,14705.363249457017,35707.92456287865,28932.080971302257,0.04547578672832613,0.019359614326910374,3.2
playground-series-s3e8,Bayesian Optimization,5,719.8273498388096,12.795841781989644,698.7100118256374,18.08204373745575,11.213581968169501,13.08542863980012,0.025429044945316392,0.01527527075057093,2.6
playground-series-s3e8,CrossDataset-HyperRL,5,739.0401906167509,41.0031162482995,701.7367307734439,29.018474295651657,30.426422746110823,35.28028729883062,0.048364725908779334,0.04894822185059243,2.4
playground-series-s3e8,CrossDataset-LC-DQN,5,720.788269694058,25.502273522604565,698.0560008651947,21.064673792063427,12.174501823417927,19.9026886178316,0.02657616064185299,0.030443806624836887,3.6
playground-series-s3e8,Random Search,5,735.3080346167978,30.441448858889906,708.1006855684259,17.907036676554217,26.6942667461577,32.6541292954272,0.04390939625138283,0.03634003774677012,1.8
playground-series-s3e9,Bayesian Optimization,5,11.972605106187073,0.033069955635247006,12.519943689094328,0.04448364349531147,0.04244987289853839,0.04147068997053487,0.031500956843209804,0.015824658503639684,3.4
playground-series-s3e9,CrossDataset-HyperRL,5,11.965566642756492,0.04960704701729155,12.484275656699506,0.06848182789380967,0.035411409467957,0.04661887013470243,0.028132906356302195,0.02373799913979754,4.4
playground-series-s3e9,CrossDataset-LC-DQN,5,11.957556706316398,0.0324538078600476,12.477968941951657,0.06641042705772296,0.02740147302786191,0.009013794882039773,0.024299985919443032,0.015529819035517875,3.6
playground-series-s3e9,Random Search,5,11.959067362565818,0.04577999444335673,12.509749903336324,0.04319683323300054,0.028912129277283684,0.03980365497794726,0.025022866213785164,0.02190667524187719,4.8
playground-series-s4e12,Bayesian Optimization,5,871.4307393723896,2.6961043694757354,866.059537063603,2.2955089269211864,2.2344429209226746,2.6032593250635903,0.021376438273511503,0.01992546480886803,6.8
playground-series-s4e12,CrossDataset-HyperRL,5,871.5341304451547,3.579891613941075,868.4178740327375,4.710648408207957,2.337833993687809,3.8415108555607724,0.022140546371572038,0.026457063450779972,3.2
playground-series-s4e12,CrossDataset-LC-DQN,5,869.989304948757,1.5336937507409396,864.9137619369843,1.2038943867036083,0.7930084972900658,0.9646436721955599,0.010723567706795481,0.011334709888813316,5.2
playground-series-s4e12,Random Search,5,870.3002203562087,0.5710341107039179,864.9109684194649,0.5485442154216902,1.103923904741805,0.8457989793015253,0.013021377123913542,0.004220207572938533,6.2
playground-series-s4e4,Bayesian Optimization,5,1.9250946575647596,0.011368651027804592,1.8938873970861834,0.010182710733895935,0.0078851292120234,0.009193281022333409,0.032969822686803034,0.030064166857057015,5.6
playground-series-s4e4,CrossDataset-HyperRL,5,1.9332511347615426,0.01391854566667681,1.9023535682224346,0.017302540703127495,0.016041606408806298,0.014774058519778812,0.05453946105551773,0.036807311466164915,2.8
playground-series-s4e4,CrossDataset-LC-DQN,5,1.9254254056755946,0.01110675086004699,1.8929108103684855,0.005053331350531894,0.008215877322858356,0.011354824343775426,0.03384447935165087,0.029371577180049728,3.4
playground-series-s4e4,Random Search,5,1.9360153118376615,0.018431788337891875,1.8982068845651423,0.011781612060300829,0.018805783484925297,0.02078293025470433,0.06184927121994686,0.04874249009043148,4.0
playground-series-s4e5,Bayesian Optimization,5,0.0206455114529913,8.324647685351454e-05,0.02053839712002019,7.272826678167638e-05,7.718589629749639e-05,0.00010761758550241854,0.01704618614996688,0.010327498851520083,5.6
playground-series-s4e5,CrossDataset-HyperRL,5,0.020700947169887254,0.00017320488559330758,0.020580744887534305,0.00016702208443935418,0.0001326216131934524,0.0001686096224364419,0.02392350185407295,0.02148767521044985,4.6
playground-series-s4e5,CrossDataset-LC-DQN,5,0.020711502399535148,0.00011627853778610029,0.020584846944417843,0.0001243486312406519,0.00014317684284134504,9.350944595891982e-05,0.025232976154804753,0.01442543289316017,3.4
playground-series-s4e5,Random Search,5,0.020714437872203013,0.0001960484391375574,0.020612779259677305,0.00019994962568559374,0.00014611231550920936,0.0001626165933372668,0.0255971488111369,0.024321630254673647,3.6
playground-series-s4e9,Bayesian Optimization,5,67668.29557108536,287.4277817183887,79919.79677257294,311.74436850060124,176.43051191164122,335.02412226869205,0.018745689013916537,0.01723131059000833,5.8
playground-series-s4e9,CrossDataset-HyperRL,5,68113.9378773631,613.6429539558214,80273.27067324176,541.3867371099714,622.0728181893908,631.2872953172065,0.045461968649832624,0.03678792727608647,7.4
playground-series-s4e9,CrossDataset-LC-DQN,5,68290.15125039236,1131.1666084655083,80405.05423495137,965.5765792158592,798.2861912186461,1134.7419629412573,0.05602596960557544,0.06781349750878489,5.2
playground-series-s4e9,Random Search,5,67735.98838267026,277.5618441812294,79918.8567774111,198.5880698466007,244.12332349654463,231.59011293810468,0.022803876619014556,0.016639847117173347,4.0
playground-series-s5e2,Bayesian Optimization,5,39.25531096636432,0.2847500168950032,39.18220410166515,0.27262136512592994,0.1485413184760162,0.26569802318046604,0.027123417185136216,0.04757806901115574,6.0
playground-series-s5e2,CrossDataset-HyperRL,5,39.11680033764405,0.016306977026823013,39.047423106383,0.017216826311963005,0.010030689755743083,0.010133116725331199,0.003980070877761974,0.0027246863294536692,4.8
playground-series-s5e2,CrossDataset-LC-DQN,5,39.17372157041828,0.07240287744328432,39.09644579917236,0.06384334200414686,0.06695192252997799,0.05843629196404894,0.013490877481616233,0.012097590501190525,5.4
playground-series-s5e2,Random Search,5,39.15580723129152,0.07211301905052878,39.08926386997909,0.07541693766622262,0.04903758340321076,0.057891943876477246,0.010497621598590733,0.012049158888211654,4.4
playground-series-s5e4,Bayesian Optimization,5,13.915356252198135,0.21009570829755217,13.826142477674287,0.1930455827575562,0.24842971789896318,0.23635014673727844,0.07571950815240557,0.04965243263127849,4.8
playground-series-s5e4,CrossDataset-HyperRL,5,13.934526116723532,0.16468538423426948,13.835169243433942,0.15168095664471165,0.2675995824243603,0.17566880610734606,0.08024996912474475,0.03892049967278436,8.2
