total_consumed_evals,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std
1501,CrossDataset-LC-DQN,75,0.35661158425669315,0.617189062971141
1502,CrossDataset-LC-DQN,75,0.10640078052412069,0.08144112397642202
1503,CrossDataset-LC-DQN,75,0.0907647214132551,0.07414573875067423
1504,CrossDataset-LC-DQN,75,0.0651304629768063,0.0574947731422434
1505,CrossDataset-LC-DQN,75,0.0565800528001799,0.053323097115864485
1506,CrossDataset-LC-DQN,75,0.049428548455038086,0.04398891658076017
1507,CrossDataset-LC-DQN,75,0.043122429605064974,0.037975535830428855
1508,CrossDataset-LC-DQN,75,0.039878093711283306,0.037170809592674964
1509,CrossDataset-LC-DQN,75,0.037111006876349224,0.034697178676946244
1510,CrossDataset-LC-DQN,75,0.033412748429733755,0.033836555774131805
