task,method_a,method_b,mean_delta_a_minus_b,std_delta,wins_a,wins_b,ties,runs
lcbench_APSFailure,Bayesian Optimization,HyperRL-MLP,-0.27612304687500566,0.2765933339864427,4,1,0,5
lcbench_APSFailure,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.224945068359375,0.20278610330294788,5,0,0,5
lcbench_APSFailure,Bayesian Optimization,Random Search,-0.201141357421875,0.11488527622518463,5,0,0,5
lcbench_APSFailure,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.05117797851563068,0.21512418564121755,1,2,2,5
lcbench_APSFailure,HyperRL-MLP,Random Search,0.07498168945313069,0.1792997836830759,1,3,1,5
lcbench_APSFailure,OurMethod-LC-DQN-MLP,Random Search,0.0238037109375,0.13044618201515196,1,2,2,5
lcbench_Amazon_employee_access,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_Australian,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_Australian,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Australian,Bayesian Optimization,Random Search,0.13071899414062785,0.29229655684884054,0,1,4,5
lcbench_Australian,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_Australian,HyperRL-MLP,Random Search,0.13071899414062785,0.29229655684884054,0,1,4,5
lcbench_Australian,OurMethod-LC-DQN-MLP,Random Search,0.13071899414062785,0.29229655684884054,0,1,4,5
lcbench_Fashion-MNIST,Bayesian Optimization,HyperRL-MLP,-0.746868896484375,0.7259934218740933,5,0,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.27393951416015627,0.1634859907037582,5,0,0,5
lcbench_Fashion-MNIST,Bayesian Optimization,Random Search,-0.648663330078125,0.5153370183533872,5,0,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.47292938232421877,0.6847733265636257,2,3,0,5
lcbench_Fashion-MNIST,HyperRL-MLP,Random Search,0.09820556640625,0.530087590059514,2,2,1,5
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,Random Search,-0.37472381591796877,0.5621237106589861,3,1,1,5
lcbench_KDDCup09_appetency,Bayesian Optimization,HyperRL-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,Bayesian Optimization,Random Search,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,HyperRL-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,Random Search,0.0,0.0,0,0,5,5
lcbench_MiniBooNE,Bayesian Optimization,HyperRL-MLP,-1.157977294921875,0.8361665136577027,5,0,0,5
lcbench_MiniBooNE,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.9201217651367187,0.17262354543451267,5,0,0,5
lcbench_MiniBooNE,Bayesian Optimization,Random Search,-1.014013671875,0.42676251723098896,5,0,0,5
lcbench_MiniBooNE,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.23785552978515626,0.9053100900363388,2,1,2,5
lcbench_MiniBooNE,HyperRL-MLP,Random Search,0.143963623046875,1.046109546011351,2,1,2,5
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,Random Search,-0.09389190673828125,0.2720398431244576,1,1,3,5
lcbench_adult,Bayesian Optimization,HyperRL-MLP,-0.15,1.018886743131084,4,1,0,5
lcbench_adult,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.0296295166015625,1.283126239708656,2,3,0,5
lcbench_adult,Bayesian Optimization,Random Search,-1.0259262084960938,1.1201285571633983,5,0,0,5
lcbench_adult,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.1203704833984375,1.1536994119873167,3,2,0,5
lcbench_adult,HyperRL-MLP,Random Search,-0.8759262084960937,0.9038003141181357,4,0,1,5
lcbench_adult,OurMethod-LC-DQN-MLP,Random Search,-0.9962966918945313,0.6832613112525348,5,0,0,5
lcbench_airlines,Bayesian Optimization,HyperRL-MLP,-1.6438308715820356,1.5228778054239123,5,0,0,5
lcbench_airlines,Bayesian Optimization,OurMethod-LC-DQN-MLP,-1.5007797241210938,0.2523548469010243,5,0,0,5
lcbench_airlines,Bayesian Optimization,Random Search,-1.5044700622558622,0.25831520978224515,5,0,0,5
lcbench_airlines,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.14305114746094177,1.5819977996300947,3,2,0,5
lcbench_airlines,HyperRL-MLP,Random Search,0.13936080932617328,1.7098901764222705,3,2,0,5
lcbench_airlines,OurMethod-LC-DQN-MLP,Random Search,-0.0036903381347684673,0.21542588938749554,2,1,2,5
lcbench_albert,Bayesian Optimization,HyperRL-MLP,-0.7140991210937443,0.4108470343662025,5,0,0,5
lcbench_albert,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.2918518066406165,0.06444636213700762,5,0,0,5
lcbench_albert,Bayesian Optimization,Random Search,-0.44118041992186363,0.31054226903566035,5,0,0,5
lcbench_albert,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.42224731445312785,0.3717535204286794,1,4,0,5
lcbench_albert,HyperRL-MLP,Random Search,0.27291870117188066,0.4474250693277571,2,2,1,5
lcbench_albert,OurMethod-LC-DQN-MLP,Random Search,-0.14932861328124716,0.27277686123938805,3,1,1,5
lcbench_bank-marketing,Bayesian Optimization,HyperRL-MLP,0.01800537109375,0.15470520577312705,3,2,0,5
lcbench_bank-marketing,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.05601654052734375,0.08708841026534353,2,2,1,5
lcbench_bank-marketing,Bayesian Optimization,Random Search,0.18605499267578124,0.2089387385254285,1,3,1,5
lcbench_bank-marketing,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.03801116943359375,0.15916934030930843,1,2,2,5
lcbench_bank-marketing,HyperRL-MLP,Random Search,0.16804962158203124,0.2726052681092897,1,3,1,5
lcbench_bank-marketing,OurMethod-LC-DQN-MLP,Random Search,0.1300384521484375,0.22029256199936917,1,3,1,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,HyperRL-MLP,-0.481927490234375,0.989859590562067,4,1,0,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.36144561767578126,1.0080236669174816,3,1,1,5
lcbench_blood-transfusion-service-center,Bayesian Optimization,Random Search,-0.36144561767578126,1.0080236669174816,3,1,1,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.12048187255859374,0.6599063937080446,1,1,3,5
lcbench_blood-transfusion-service-center,HyperRL-MLP,Random Search,0.12048187255859374,0.7854457133673034,2,2,1,5
lcbench_blood-transfusion-service-center,OurMethod-LC-DQN-MLP,Random Search,0.0,0.7377977775589636,2,1,2,5
lcbench_car,Bayesian Optimization,HyperRL-MLP,-4.699740600585935,4.430958201062691,3,0,2,5
lcbench_car,Bayesian Optimization,OurMethod-LC-DQN-MLP,-3.968670654296875,3.6618764374901636,3,0,2,5
lcbench_car,Bayesian Optimization,Random Search,-4.647523498535153,4.7228937356127485,3,0,2,5
lcbench_car,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.7310699462890596,0.9664098513961538,0,3,2,5
lcbench_car,HyperRL-MLP,Random Search,0.05221710205078125,2.9331287469673732,1,2,2,5
lcbench_car,OurMethod-LC-DQN-MLP,Random Search,-0.6788528442382784,2.6601145333229193,1,1,3,5
lcbench_christine,Bayesian Optimization,HyperRL-MLP,-0.35058441162109377,0.4624980903480648,4,1,0,5
lcbench_christine,Bayesian Optimization,OurMethod-LC-DQN-MLP,-0.31719512939453126,0.2855181665472693,5,0,0,5
lcbench_christine,Bayesian Optimization,Random Search,-0.5008346557617187,0.5279242716504217,4,1,0,5
lcbench_christine,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.0333892822265625,0.3619259159311308,1,2,2,5
lcbench_christine,HyperRL-MLP,Random Search,-0.150250244140625,0.22397912886880894,2,0,3,5
lcbench_christine,OurMethod-LC-DQN-MLP,Random Search,-0.1836395263671875,0.4587168720583934,3,1,1,5
lcbench_cnae-9,Bayesian Optimization,HyperRL-MLP,1.52587890625e-06,0.8368206024217744,2,2,1,5
lcbench_cnae-9,Bayesian Optimization,OurMethod-LC-DQN-MLP,0.2510482788085994,0.6345500737696032,2,3,0,5
lcbench_cnae-9,Bayesian Optimization,Random Search,0.41841125488281533,0.7247095519156828,1,4,0,5
lcbench_cnae-9,HyperRL-MLP,OurMethod-LC-DQN-MLP,0.2510467529296932,0.6345470553623547,1,2,2,5
lcbench_cnae-9,HyperRL-MLP,Random Search,0.4184097290039091,0.5917201739102086,0,2,3,5
lcbench_cnae-9,OurMethod-LC-DQN-MLP,Random Search,0.1673629760742159,0.6345488160959302,1,1,3,5
lcbench_connect-4,Bayesian Optimization,HyperRL-MLP,-2.3550674438476533,2.4384685021436394,3,0,2,5
lcbench_connect-4,Bayesian Optimization,OurMethod-LC-DQN-MLP,-3.9001190185546877,4.481646925298479,3,0,2,5
lcbench_connect-4,Bayesian Optimization,Random Search,-2.8022491455078096,2.5987805268087074,3,0,2,5
