train_task_count,method,runs,normalized_simple_regret_mean,normalized_simple_regret_std,normalized_simple_regret_se
1,CrossDataset-LC-DQN,75,0.022285943808470546,0.019317996930145347,0.002230650145564756
5,CrossDataset-LC-DQN,75,0.022894326906947694,0.019663826976667725,0.002270583159655467
10,CrossDataset-LC-DQN,75,0.02545014491283167,0.021057092904069923,0.0024314636513031456
15,CrossDataset-LC-DQN,75,0.021722565486759937,0.02204798960273968,0.002545882546446365
