task,method,runs,best_val_score_mean,best_val_score_std,best_test_score_mean,best_test_score_std,simple_regret_mean,simple_regret_std,best_iteration_mean
lcbench_APSFailure,Bayesian Optimization,5,1.0771255493164062,0.0,1.072567783094101,0.0,0.0,0.0,100.6
lcbench_APSFailure,HyperRL-MLP,5,1.1378250122070312,0.08314278792313796,1.1244019138755958,0.0792448441561029,0.060699462890625,0.08314278792313796,242.0
lcbench_APSFailure,OurMethod-LC-DQN-MLP,5,1.1687698364257812,0.09021103978318491,1.1634768740031916,0.09541926334473257,0.091644287109375,0.09021103978318491,165.6
lcbench_APSFailure,Random Search,5,1.1830520629882784,0.06331518640778097,1.2089314194577327,0.07676862478999524,0.10592651367187216,0.06331518640778099,303.0
lcbench_Amazon_employee_access,Bayesian Optimization,5,5.920509338378906,0.0,5.788792306269656,0.0,0.01380157470703125,0.0,1.8
lcbench_Amazon_employee_access,HyperRL-MLP,5,5.9177490234375,0.0061722518482927235,5.788792306269656,0.0,0.011041259765625,0.0061722518482927235,46.6
lcbench_Amazon_employee_access,OurMethod-LC-DQN-MLP,5,5.912228393554687,0.00755943379613377,5.788792306269656,0.0,0.0055206298828125,0.00755943379613377,172.0
lcbench_Amazon_employee_access,Random Search,5,5.914988708496094,0.00755943379613377,5.788792306269656,0.0,0.00828094482421875,0.00755943379613377,65.0
lcbench_Australian,Bayesian Optimization,5,8.627453613281252,0.29229655684884054,16.563876651982376,0.39402078898674303,0.0,0.0,201.2
lcbench_Australian,HyperRL-MLP,5,9.019610595703137,0.29229655684884054,16.211453744493394,0.6534095583344225,0.3921569824218835,0.3579887089260375,76.4
lcbench_Australian,OurMethod-LC-DQN-MLP,5,8.88889160156251,0.3579887089260375,16.475770925110133,0.5910311834801187,0.2614379882812557,0.3579887089260375,93.2
lcbench_Australian,Random Search,5,8.88889160156251,0.3579887089260375,15.859030837004406,0.696536929552506,0.2614379882812557,0.3579887089260375,101.6
lcbench_Fashion-MNIST,Bayesian Optimization,5,10.602142333984375,0.0,9.948051948051955,0.0,0.0,0.0,53.4
lcbench_Fashion-MNIST,HyperRL-MLP,5,10.646075439453124,0.09823741029079276,9.974025974025977,0.058079687727259834,0.04393310546875,0.09823741029079276,246.0
lcbench_Fashion-MNIST,OurMethod-LC-DQN-MLP,5,10.705517578125,0.05778851827226858,9.851082251082255,0.05420770854545098,0.103375244140625,0.05778851827226858,285.2
lcbench_Fashion-MNIST,Random Search,5,10.956195068359374,0.3463147971736858,10.259740259740251,0.39634629348981293,0.354052734375,0.34631479717368585,351.0
lcbench_KDDCup09_appetency,Bayesian Optimization,5,1.6733016967773438,0.0,1.7830303030303014,0.002710385427270007,0.0,0.0,4.2
lcbench_KDDCup09_appetency,HyperRL-MLP,5,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,4.8
lcbench_KDDCup09_appetency,OurMethod-LC-DQN-MLP,5,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,4.8
lcbench_KDDCup09_appetency,Random Search,5,1.6733016967773438,0.0,1.7818181818181813,0.0,0.0,0.0,6.0
lcbench_MiniBooNE,Bayesian Optimization,5,9.6046142578125,0.0,9.862075392572578,0.0,0.0,0.0,254.2
lcbench_MiniBooNE,HyperRL-MLP,5,10.156831359863281,0.4798172973536052,10.358324402404358,0.5032141630915323,0.5522171020507812,0.4798172973536052,346.0
lcbench_MiniBooNE,OurMethod-LC-DQN-MLP,5,9.947491455078126,0.37117725446074096,10.094124225338982,0.37824983574940146,0.342877197265625,0.37117725446074096,240.4
lcbench_MiniBooNE,Random Search,5,10.316790771484374,0.3990893773964853,10.550766506686548,0.3851327633389007,0.712176513671875,0.39908937739648537,195.4
lcbench_adult,Bayesian Optimization,5,17.494444274902342,1.0855381257782424,17.777502016504307,1.1135225625211247,0.7444442749023438,1.0855381257782426,265.2
lcbench_adult,HyperRL-MLP,5,17.575924682617188,0.553289212527031,17.8308618229199,0.600686888240385,0.8259246826171875,0.553289212527031,247.4
